Brand,Year,UsedOrNew,Transmission,FuelType,FuelConsumption,Kilometres,CylindersinEngine,BodyType,Doors,Seats,Price,EngineVolume,ExtCol,State,DriveFront,DriveRear
Ssangyong,2022.0,DEMO,Automatic,Diesel,8.7,5595.0,4.0,SUV,4.0,7.0,51990.0,2.2,White ,NSW,True,True
MG,2022.0,USED,Automatic,Premium,6.7,16.0,4.0,Hatchback,5.0,5.0,19990.0,1.5,Black ,NSW,True,False
BMW,2022.0,USED,Automatic,Premium,6.6,8472.0,4.0,Coupe,2.0,4.0,108988.0,2.0,Grey ,NSW,False,True
Mercedes-Benz,2011.0,USED,Automatic,Premium,11.0,136517.0,8.0,Coupe,2.0,4.0,32990.0,5.5,White ,NSW,False,True
Renault,2022.0,USED,Automatic,Unleaded,6.0,1035.0,4.0,SUV,4.0,5.0,34990.0,1.3,Grey ,NSW,True,False
Toyota,2004.0,USED,Automatic,Unleaded,,160230.0,,Commercial,,,9990.0,,Grey ,NSW,,
Land,2017.0,USED,Automatic,Diesel,5.1,67662.0,4.0,SUV,2.0,4.0,62280.0,2.0,White ,NSW,True,True
Nissan,2000.0,USED,Automatic,Unleaded,8.0,300539.0,4.0,Hatchback,5.0,5.0,2995.0,1.6,Red ,NSW,True,False
Toyota,2013.0,USED,Automatic,Premium,7.1,82012.0,4.0,Coupe,2.0,4.0,24888.0,2.0,Black ,NSW,False,True
Honda,2014.0,USED,Automatic,Hybrid,4.5,38229.0,4.0,Hatchback,5.0,5.0,17900.0,1.3,Blue ,NSW,True,False
Toyota,2009.0,USED,Automatic,Unleaded,,148190.0,,Commercial,,,42500.0,,White ,NSW,,
Toyota,2018.0,USED,Automatic,Unleaded,9.8,16324.0,4.0,Commercial,4.0,2.0,41999.0,2.7,White ,NSW,False,True
Honda,2015.0,USED,Automatic,Unleaded,,181745.0,,,,,11999.0,,Black ,NSW,,
Toyota,2017.0,USED,Automatic,,,136296.0,,,,,38999.0,,Silver ,NSW,,
Toyota,2016.0,USED,Automatic,Diesel,8.0,229829.0,4.0,Commercial,4.0,2.0,27995.0,3.0,White ,NSW,False,True
Volkswagen,2012.0,USED,Automatic,Premium,6.2,55676.0,4.0,Hatchback,5.0,5.0,14999.0,1.4,White ,NSW,True,False
BMW,2014.0,USED,Automatic,Diesel,5.6,82624.0,4.0,SUV,4.0,5.0,24985.0,2.0,Black ,NSW,True,True
Mitsubishi,2013.0,USED,Manual,,,120020.0,,Wagon,,,13999.0,,Blue ,NSW,,
BMW,2011.0,USED,Automatic,Diesel,5.4,95204.0,4.0,Hatchback,5.0,5.0,13999.0,2.0,Silver ,NSW,False,True
Ford,2014.0,USED,Automatic,Unleaded,5.4,76289.0,3.0,Hatchback,5.0,5.0,12400.0,1.0,White ,NSW,True,False
Mitsubishi,2012.0,USED,Automatic,Unleaded,7.5,219681.0,4.0,SUV,4.0,7.0,13999.0,2.4,Black ,NSW,True,True
Ford,2013.0,USED,Automatic,Unleaded,6.1,98079.0,4.0,Hatchback,5.0,5.0,11999.0,1.6,Blue ,NSW,True,False
Volkswagen,2023.0,NEW,Automatic,Diesel,8.4,15.0,6.0,Ute / Tray,4.0,5.0,83887.0,3.0,White ,NSW,True,True
Honda,2018.0,USED,Automatic,Unleaded,5.8,43274.0,4.0,Hatchback,5.0,5.0,19900.0,1.5,Silver ,NSW,True,False
Subaru,2012.0,USED,Automatic,Premium,8.4,105672.0,4.0,SUV,4.0,5.0,17990.0,2.5,Black ,NSW,True,True
Mitsubishi,2018.0,USED,Automatic,Unleaded,4.7,36836.0,3.0,Hatchback,5.0,5.0,14995.0,1.2,Black ,NSW,True,False
Toyota,2005.0,USED,Automatic,Unleaded,9.8,115821.0,4.0,Sedan,4.0,5.0,8499.0,2.4,Silver ,NSW,True,False
BMW,2013.0,USED,Automatic,Unleaded,,143119.0,,,,,21999.0,,Black ,NSW,,
Hyundai,2011.0,USED,Automatic,Unleaded,7.9,189711.0,4.0,Sedan,4.0,5.0,12990.0,2.4,Silver ,NSW,True,False
Ford,2015.0,USED,Automatic,Diesel,8.2,173786.0,6.0,SUV,4.0,7.0,16999.0,2.7,Blue ,NSW,False,True
Nissan,2018.0,USED,Automatic,Unleaded,6.9,114301.0,4.0,SUV,4.0,5.0,21950.0,2.0,Blue ,NSW,True,False
Volkswagen,2013.0,USED,Manual,Premium,6.6,69197.0,4.0,Hatchback,5.0,5.0,24880.0,2.0,Black ,NSW,True,False
Volkswagen,2023.0,NEW,Automatic,Premium,,15.0,,Wagon,,,35887.0,,White ,NSW,True,False
Hyundai,2015.0,USED,Automatic,Unleaded,7.9,94377.0,4.0,SUV,4.0,5.0,23888.0,2.0,Grey ,NSW,True,False
Ford,2016.0,USED,Automatic,Unleaded,6.2,94965.0,4.0,Hatchback,5.0,5.0,16999.0,1.5,White ,NSW,True,False
Nissan,2019.0,USED,Automatic,Unleaded,8.1,99294.0,4.0,SUV,4.0,7.0,24490.0,2.5,Grey ,NSW,True,False
Toyota,2021.0,USED,Automatic,Hybrid,4.2,13694.0,4.0,Hatchback,5.0,5.0,44878.0,1.8,Black ,NSW,True,False
Toyota,2007.0,USED,Automatic,Unleaded,6.7,264691.0,4.0,Sedan,4.0,5.0,7949.0,1.5,Silver ,NSW,True,False
Jeep,2012.0,USED,Automatic,Unleaded,,224839.0,,Wagon,,,13999.0,,Red ,NSW,,
Toyota,2010.0,USED,Manual,Unleaded,7.7,238270.0,4.0,Hatchback,5.0,5.0,8800.0,1.8,Grey ,NSW,True,False
Toyota,2009.0,USED,Automatic,Unleaded,,76259.0,,Commercial,,,32900.0,,White ,NSW,False,True
Jeep,2015.0,USED,Automatic,Unleaded,9.1,140964.0,4.0,SUV,4.0,5.0,13990.0,2.4,Black ,NSW,True,True
Toyota,2003.0,USED,Automatic,Unleaded,0.0,266848.0,4.0,Commercial,4.0,3.0,9999.0,2.4,White ,NSW,False,True
Volvo,2013.0,USED,Automatic,Premium,7.4,141000.0,4.0,Sedan,4.0,5.0,14999.0,1.6,Blue ,NSW,True,False
Mitsubishi,2016.0,USED,Automatic,Diesel,7.6,240402.0,4.0,Ute / Tray,4.0,5.0,22750.0,2.4,White ,NSW,True,True
Mercedes-Benz,2010.0,USED,Automatic,Premium,7.9,101126.0,4.0,Coupe,2.0,4.0,21950.0,1.8,Black ,NSW,False,True
Mercedes-Benz,2013.0,USED,Automatic,Premium,6.6,117254.0,4.0,Hatchback,5.0,5.0,19999.0,2.0,White ,NSW,True,False
Toyota,2012.0,USED,Manual,Premium,7.8,178747.0,4.0,Coupe,2.0,4.0,19900.0,2.0,Silver ,NSW,False,True
Mazda,2022.0,USED,Automatic,Unleaded,7.5,10579.0,4.0,SUV,4.0,5.0,37990.0,2.5,Black ,NSW,True,True
Toyota,2010.0,USED,Automatic,Unleaded,7.7,167101.0,4.0,Hatchback,5.0,5.0,12990.0,1.8,Red ,NSW,True,False
Ford,2013.0,USED,Automatic,Unleaded,9.9,163161.0,6.0,Sedan,4.0,5.0,16999.0,4.0,Blue ,NSW,False,True
Abarth,2021.0,USED,Manual,Premium,6.0,13200.0,4.0,Hatchback,3.0,4.0,36990.0,1.4,Black ,NSW,True,False
Honda,2014.0,USED,Automatic,Unleaded,8.7,103211.0,4.0,SUV,4.0,5.0,23880.0,2.4,White ,NSW,True,True
Toyota,2007.0,USED,Automatic,Unleaded,7.4,177751.0,4.0,Sedan,4.0,5.0,10990.0,1.8,Silver ,NSW,True,False
Toyota,2016.0,USED,Automatic,Unleaded,10.9,119614.0,4.0,People Mover,3.0,14.0,44900.0,2.7,Silver ,NSW,False,True
Hyundai,2012.0,USED,Automatic,Unleaded,6.9,125546.0,4.0,Hatchback,5.0,5.0,15880.0,1.8,Black ,NSW,True,False
Mazda,2013.0,USED,Automatic,Unleaded,6.6,163000.0,4.0,Sedan,4.0,5.0,16995.0,2.5,Grey ,NSW,True,False
Toyota,2008.0,USED,Automatic,Unleaded,11.0,132864.0,6.0,SUV,4.0,7.0,19880.0,3.5,Blue ,NSW,True,False
Hyundai,2018.0,USED,Automatic,Diesel,7.8,71655.0,4.0,SUV,4.0,7.0,43999.0,2.2,White ,NSW,True,True
BMW,2012.0,USED,Automatic,Diesel,5.6,109459.0,4.0,SUV,4.0,5.0,18888.0,2.0,Black ,NSW,True,True
Holden,2016.0,USED,Automatic,Premium,7.5,65361.0,4.0,Convertible,2.0,4.0,24995.0,1.6,Silver ,NSW,True,False
Mercedes-Benz,2006.0,USED,Automatic,Diesel,9.6,212953.0,6.0,SUV,4.0,5.0,9998.0,3.0,Silver ,NSW,True,True
Mitsubishi,2009.0,USED,Automatic,Unleaded,8.2,163012.0,4.0,Sedan,4.0,5.0,9990.0,2.0,Red ,NSW,True,False
Audi,2014.0,USED,Automatic,Premium,6.7,82119.0,4.0,Coupe,2.0,4.0,27380.0,2.0,White ,NSW,True,True
Kia,2018.0,USED,Automatic,Unleaded,5.4,42071.0,3.0,Hatchback,5.0,5.0,24999.0,1.0,Red ,NSW,True,False
Jeep,2015.0,USED,Automatic,Unleaded,10.0,85958.0,6.0,SUV,4.0,5.0,17999.0,3.2,Red ,NSW,True,True
Volkswagen,2011.0,USED,Automatic,Premium,8.8,118642.0,4.0,SUV,4.0,5.0,12990.0,2.0,Black ,NSW,True,True
Mitsubishi,2012.0,USED,Automatic,Unleaded,7.9,187265.0,4.0,SUV,4.0,5.0,13990.0,2.0,Blue ,NSW,True,False
BMW,2016.0,USED,Automatic,Premium,6.4,118120.0,4.0,Convertible,2.0,4.0,28990.0,2.0,Grey ,NSW,False,True
Hyundai,2022.0,USED,Automatic,Unleaded,8.1,19978.0,4.0,SUV,4.0,5.0,36800.0,2.0,White ,NSW,True,False
Mazda,2011.0,USED,Automatic,Unleaded,8.2,86804.0,4.0,Sedan,4.0,5.0,13999.0,2.0,Grey ,NSW,True,False
Volkswagen,2023.0,NEW,Automatic,Premium,8.9,15.0,4.0,SUV,4.0,7.0,56887.0,2.0,Black ,NSW,True,True
Hyundai,2014.0,USED,Automatic,Diesel,9.0,183550.0,4.0,Wagon,4.0,8.0,19888.0,2.5,White ,NSW,False,True
Toyota,2014.0,USED,Automatic,Unleaded,6.3,191748.0,4.0,Hatchback,5.0,5.0,8995.0,1.3,Green ,NSW,True,False
Toyota,2016.0,USED,Automatic,Unleaded,10.4,139637.0,6.0,SUV,4.0,7.0,31900.0,3.5,Grey ,NSW,True,False
Mitsubishi,2013.0,USED,Automatic,Unleaded,7.2,165306.0,4.0,Sedan,4.0,5.0,14995.0,2.0,Grey ,NSW,True,False
Subaru,2016.0,USED,Automatic,Unleaded,7.1,104887.0,4.0,SUV,4.0,5.0,22990.0,2.0,Grey ,NSW,True,True
Mini,2017.0,USED,Automatic,Premium,5.5,72501.0,4.0,Hatchback,5.0,5.0,31990.0,2.0,Yellow ,NSW,True,False
Peugeot,2015.0,USED,Automatic,Unleaded,,167127.0,,Hatchback,,,12999.0,,White ,NSW,,
Holden,2010.0,USED,Manual,Unleaded,14.5,169220.0,8.0,Ute / Tray,2.0,2.0,25999.0,6.0,Black ,NSW,False,True
Hyundai,2015.0,USED,Automatic,Unleaded,5.9,111783.0,4.0,Hatchback,5.0,5.0,13990.0,1.4,Silver ,NSW,True,False
